category,grp,code,descript
ACT TAKEN ,X              ,0,"Action taken, Other                               "
ACT TAKEN ,1,10,"Fire control or extinguishment, other             "
ACT TAKEN ,1,11,Extinguishment by fire service personnel          
ACT TAKEN ,1,12,Salvage & overhaul                                
ACT TAKEN ,1,13,Establish fire lines (wildfire)                   
ACT TAKEN ,1,14,Contain fire (wildland)                           
ACT TAKEN ,1,15,Confine fire (wildland)                           
ACT TAKEN ,1,16,Control fire (wildland)                           
ACT TAKEN ,1,17,Manage prescibed fire (wildland)                  
ACT TAKEN ,2,20,"Search & rescue, Other                            "
ACT TAKEN ,2,21,Search                                            
ACT TAKEN ,2,22,"Rescue, remove from harm                          "
ACT TAKEN ,2,23,"Extricate, disentangle                            "
ACT TAKEN ,2,24,Recover body                                      
ACT TAKEN ,3,30,"Emergency medical services, Other                 "
ACT TAKEN ,3,31,Provide first aid & check for injuries            
ACT TAKEN ,3,32,Provide basic life support (BLS)                  
ACT TAKEN ,3,33,Provide advanced life support (ALS)               
ACT TAKEN ,3,34,Transport person                                  
ACT TAKEN ,4,40,"Hazardous condition, Other                        "
ACT TAKEN ,4,41,"Identify, analyze hazardous materials             "
ACT TAKEN ,4,42,"HazMat detection, monitoring, sampling, & analysis"
ACT TAKEN ,4,43,Hazardous materials spill control and confinement 
ACT TAKEN ,4,44,Hazardous materials leak control & containment    
ACT TAKEN ,4,45,Remove hazard                                     
ACT TAKEN ,4,46,Decontaminate persons or equipment                
ACT TAKEN ,4,47,Decontaminate occupancy or area                   
ACT TAKEN ,4,48,Remove hazardous materials                        
ACT TAKEN ,5,50,"Fires, rescues & hazardous conditions, Other      "
ACT TAKEN ,5,51,Ventilate                                         
ACT TAKEN ,5,52,Forcible entry                                    
ACT TAKEN ,5,53,Evacuate area                                     
ACT TAKEN ,5,54,Determine if materials are non-hazardous          
ACT TAKEN ,5,55,Establish safe area                               
ACT TAKEN ,5,56,Provide air supply                                
ACT TAKEN ,5,57,Provide light or electrical power                 
ACT TAKEN ,5,58,Operate apparatus or vehicle                      
ACT TAKEN ,6,60,"Systems and services, Other                       "
ACT TAKEN ,6,61,Restore municipal services                        
ACT TAKEN ,6,62,Restore sprinkler or fire protection system       
ACT TAKEN ,6,63,Restore fire alarm system                         
ACT TAKEN ,6,64,Shut down system                                  
ACT TAKEN ,6,65,Secure property                                   
ACT TAKEN ,6,66,Remove water                                      
ACT TAKEN ,7,70,"Assistance, Other                                 "
ACT TAKEN ,7,71,Assist physically disabled                        
ACT TAKEN ,7,72,Assist animal                                     
ACT TAKEN ,7,73,Provide manpower                                  
ACT TAKEN ,7,74,Provide apparatus                                 
ACT TAKEN ,7,75,Provide equipment                                 
ACT TAKEN ,7,76,Provide water                                     
ACT TAKEN ,7,77,Control crowd                                     
ACT TAKEN ,7,78,Control traffic                                   
